Frame;DeltaTime;FPS
Average;0.00153551;651
0;0.037986;26
1;0.012006;83
2;0.003332;300
3;0.0020758;482
4;0.0043226;231
5;0.0015551;643
6;0.0021982;455
7;0.001548;646
8;0.0012231;818
9;0.0013666;732
10;0.0017399;575
11;0.0012549;797
12;0.0013666;732
13;0.001288;776
14;0.0014625;684
15;0.0013176;759
16;0.0012726;786
17;0.0017926;558
18;0.0014384;695
19;0.0014068;711
20;0.0015588;642
21;0.0016621;602
22;0.0012641;791
23;0.0015326;652
24;0.0011646;859
25;0.0012007;833
26;0.0012847;778
27;0.0011323;883
28;0.0011701;855
29;0.0015685;638
30;0.0013716;729
31;0.0021452;466
32;0.0018391;544
33;0.0015877;630
34;0.0015772;634
35;0.0010797;926
36;0.0011247;889
37;0.0012924;774
38;0.0011377;879
39;0.0015845;631
40;0.0010726;932
41;0.0017066;586
42;0.0022832;438
43;0.0014018;713
44;0.0011363;880
45;0.0011132;898
46;0.0011206;892
47;0.0011143;897
48;0.0013644;733
49;0.0011847;844
50;0.0010653;939
51;0.001533;652
52;0.0013014;768
53;0.0013729;728
54;0.0021019;476
55;0.0018549;539
56;0.0012399;807
57;0.0013355;749
58;0.0014076;710
59;0.0010727;932
60;0.0011563;865
61;0.0011747;851
62;0.0011599;862
63;0.0012174;821
64;0.0011031;907
65;0.0019222;520
66;0.0014842;674
67;0.0015003;667
68;0.0025604;391
69;0.0049926;200
70;0.001389;720
71;0.0012491;801
72;0.0011563;865
73;0.0022819;438
74;0.0012947;772
75;0.0016883;592
76;0.0013304;752
77;0.0012512;799
78;0.0011579;864
79;0.0011655;858
80;0.0011687;856
81;0.0011557;865
82;0.0011794;848
83;0.001198;835
84;0.001145;873
85;0.0021204;472
86;0.0014901;671
87;0.0016159;619
88;0.0015239;656
89;0.0016588;603
90;0.0012461;803
91;0.0012384;807
92;0.0011744;851
93;0.0011728;853
94;0.0012268;815
95;0.0012939;773
96;0.0019758;506
97;0.0013756;727
98;0.0013347;749
99;0.003102;322
100;0.0018898;529
101;0.0013307;751
102;0.0016723;598
103;0.0012237;817
104;0.0021022;476
105;0.001694;590
106;0.0014662;682
107;0.0015611;641
108;0.0013137;761
109;0.0024713;405
110;0.0015221;657
111;0.0011801;847
112;0.0011665;857
113;0.0014825;675
114;0.0015397;649
115;0.0014612;684
116;0.0014689;681
117;0.0012235;817
118;0.0012983;770
119;0.0013251;755
120;0.0021949;456
121;0.0012762;784
122;0.0011566;865
123;0.0016555;604
124;0.0011385;878
125;0.0016952;590
126;0.0016221;616
127;0.0016349;612
128;0.001611;621
129;0.0012577;795
130;0.001641;609
131;0.0012902;775
132;0.0016154;619
133;0.0016494;606
134;0.0012056;829
135;0.0014206;704
136;0.0013206;757
137;0.0013464;743
138;0.001261;793
139;0.001192;839
140;0.0011355;881
141;0.0011884;841
142;0.0014786;676
143;0.0023388;428
144;0.0014394;695
145;0.001241;806
146;0.001116;896
147;0.0031517;317
148;0.0016457;608
149;0.0012912;774
150;0.0012121;825
151;0.0012068;829
152;0.0012034;831
153;0.0017395;575
154;0.0019424;515
155;0.0016539;605
156;0.0017063;586
157;0.0014296;699
158;0.0011756;851
159;0.0022878;437
160;0.0012933;773
161;0.0011387;878
162;0.0010578;945
163;0.0015584;642
164;0.0018716;534
165;0.0016733;598
166;0.0018042;554
167;0.0015818;632
168;0.0013108;763
169;0.0012327;811
170;0.0011306;884
171;0.0011213;892
172;0.0010844;922
173;0.0011469;872
174;0.0011721;853
175;0.001185;844
176;0.0013371;748
177;0.0014267;701
178;0.0025522;392
179;0.0012309;812
180;0.001108;903
181;0.0011973;835
182;0.0016468;607
183;0.0011545;866
184;0.0010714;933
185;0.0016525;605
186;0.0010666;938
187;0.001194;838
188;0.0011916;839
189;0.002489;402
190;0.0020524;487
191;0.0011235;890
192;0.0011225;891
193;0.0010905;917
194;0.0011258;888
195;0.0016545;604
196;0.0010325;969
197;0.0011533;867
198;0.0011803;847
199;0.0011216;892
200;0.0016388;610
201;0.0014063;711
202;0.0019202;521
203;0.0012101;826
204;0.0012464;802
205;0.0012057;829
206;0.0011513;869
207;0.0012485;801
208;0.0010768;929
209;0.0012164;822
210;0.0011553;866
211;0.001135;881
212;0.0015069;664
213;0.0024625;406
214;0.002041;490
215;0.0013136;761
216;0.0018327;546
217;0.0012649;791
218;0.001195;837
219;0.0011856;843
220;0.0011896;841
221;0.0028215;354
222;0.003876;258
223;0.0019259;519
224;0.0015012;666
225;0.0012445;804
226;0.0014238;702
227;0.0016231;616
228;0.0012423;805
229;0.0011208;892
230;0.0012665;790
231;0.0011571;864
232;0.0018901;529
233;0.0022556;443
234;0.0012904;775
235;0.0011797;848
236;0.0014378;696
237;0.0011835;845
238;0.0011494;870
239;0.0012944;773
240;0.0011672;857
241;0.0011136;898
242;0.0012367;809
243;0.0011818;846
244;0.0018049;554
245;0.0015046;665
246;0.0017772;563
247;0.001338;747
248;0.0013038;767
249;0.0013005;769
250;0.0012033;831
251;0.0015023;666
252;0.0011664;857
253;0.0016461;607
254;0.0012067;829
255;0.0019899;503
256;0.0042653;234
257;0.0016364;611
258;0.0011628;860
259;0.0015839;631
260;0.0013937;718
261;0.0012239;817
262;0.0011504;869
263;0.0011612;861
264;0.0020974;477
265;0.0016464;607
266;0.0012176;821
267;0.0014336;698
268;0.0012205;819
269;0.0016819;595
270;0.0011998;833
271;0.0012252;816
272;0.0011653;858
273;0.0010999;909
274;0.001115;897
275;0.0015736;635
276;0.0013541;738
277;0.0011945;837
278;0.0014355;697
279;0.0020262;494
280;0.001243;805
281;0.0011636;859
282;0.0011283;886
283;0.0011169;895
284;0.0011158;896
285;0.0011623;860
286;0.0011838;845
287;0.0019116;523
288;0.0012434;804
289;0.0011378;879
290;0.0011324;883
291;0.0011811;847
292;0.0012096;827
293;0.0013285;753
294;0.0012272;815
295;0.0011656;858
296;0.0013329;750
297;0.0012011;833
298;0.0010946;914
299;0.0014517;689
300;0.004341;230
301;0.0011802;847
302;0.0011313;884
303;0.0011924;839
304;0.0012247;817
305;0.0012519;799
306;0.0012876;777
307;0.0010483;954
308;0.0011503;869
309;0.0011151;897
310;0.0012938;773
311;0.0012255;816
312;0.0011151;897
313;0.0011592;863
314;0.0010785;927
315;0.0010865;920
316;0.0011518;868
317;0.0012915;774
318;0.0012949;772
319;0.0011613;861
320;0.0014105;709
321;0.001124;890
322;0.0011062;904
323;0.0016658;600
324;0.0013495;741
325;0.0011602;862
326;0.001101;908
327;0.0014684;681
328;0.0012129;824
329;0.0016564;604
330;0.0016571;603
331;0.0015536;644
332;0.0011692;855
333;0.0011206;892
334;0.0010728;932
335;0.0021004;476
336;0.0015897;629
337;0.0014269;701
338;0.0011571;864
339;0.0011749;851
340;0.0011651;858
341;0.0016464;607
342;0.0015899;629
343;0.0017172;582
344;0.0013843;722
345;0.0014179;705
346;0.0015193;658
347;0.001632;613
348;0.0013098;763
349;0.0012538;798
350;0.0011272;887
351;0.0014355;697
352;0.0013739;728
353;0.0014689;681
354;0.0019163;522
355;0.0014461;692
356;0.0018139;551
357;0.001392;718
358;0.0014332;698
359;0.0020136;497
360;0.0013188;758
361;0.0012882;776
362;0.0011291;886
363;0.0012035;831
364;0.001828;547
365;0.001363;734
366;0.0015882;630
367;0.0019086;524
368;0.0011123;899
369;0.0012066;829
370;0.0011805;847
371;0.0015117;662
372;0.001139;878
373;0.0013063;766
374;0.0012355;809
375;0.0014206;704
376;0.0011133;898
377;0.001194;838
378;0.0011562;865
379;0.0030385;329
380;0.0015662;638
381;0.0011001;909
382;0.0010497;953
383;0.0010702;934
384;0.0011149;897
385;0.001129;886
386;0.0015133;661
387;0.0014837;674
388;0.0012226;818
389;0.0015529;644
390;0.0012118;825
391;0.0020525;487
392;0.001185;844
393;0.0010812;925
394;0.0011508;869
395;0.001463;684
396;0.0012495;800
397;0.0017206;581
398;0.001175;851
399;0.0016498;606
400;0.0011957;836
401;0.0021497;465
402;0.0013853;722
403;0.0012315;812
404;0.0012001;833
405;0.0011406;877
406;0.0014275;701
407;0.0012838;779
408;0.0014038;712
409;0.0016175;618
410;0.001378;726
411;0.0016537;605
412;0.0012196;820
413;0.0022854;438
414;0.0016466;607
415;0.0013219;756
416;0.0011804;847
417;0.001082;924
418;0.0010644;939
419;0.0010907;917
420;0.0012187;821
421;0.0018154;551
422;0.0013933;718
423;0.0011258;888
424;0.0028953;345
425;0.0012021;832
426;0.0011989;834
427;0.0011551;866
428;0.0011988;834
429;0.0011741;852
430;0.0017261;579
431;0.0012142;824
432;0.0011844;844
433;0.0016565;604
434;0.0013925;718
435;0.0013465;743
436;0.0014254;702
437;0.0014965;668
438;0.0014939;669
439;0.0011946;837
440;0.0013299;752
441;0.00117;855
442;0.0011482;871
443;0.0011674;857
444;0.0011519;868
445;0.0011881;842
446;0.0017019;588
447;0.0013482;742
448;0.0012635;791
449;0.0015066;664
450;0.0012161;822
451;0.0016429;609
452;0.0011243;889
453;0.0011884;841
454;0.0011533;867
455;0.0010506;952
456;0.0010782;927
457;0.0011623;860
458;0.0010578;945
459;0.0053588;187
460;0.0012591;794
461;0.0012056;829
462;0.0011537;867
463;0.0012524;798
464;0.001199;834
465;0.0014973;668
466;0.0014659;682
467;0.0013726;729
468;0.0015094;663
469;0.0013215;757
470;0.0017026;587
471;0.0014141;707
472;0.0012177;821
473;0.001291;775
474;0.0011327;883
475;0.0012382;808
476;0.0011746;851
477;0.0011255;888
478;0.0010898;918
479;0.0024057;416
480;0.0023055;434
481;0.0013394;747
482;0.0013064;765
483;0.0012228;818
484;0.0017635;567
485;0.0011765;850
486;0.0012167;822
487;0.001151;869
488;0.0012123;825
489;0.0014143;707
490;0.0017605;568
491;0.0011074;903
492;0.0013598;735
493;0.0011699;855
494;0.0010919;916
495;0.0012442;804
496;0.0013189;758
497;0.0016908;591
498;0.0011082;902
499;0.0011223;891
