Frame;DeltaTime;FPS
Average;0.00130164;768
0;0.0435941;23
1;0.0016492;606
2;0.0020941;478
3;0.0011544;866
4;0.0024529;408
5;0.0017522;571
6;0.0034931;286
7;0.001656;604
8;0.0010733;932
9;0.0010597;944
10;0.0013101;763
11;0.0009693;1032
12;0.0009799;1021
13;0.0009279;1078
14;0.0009748;1026
15;0.0010057;994
16;0.0010071;993
17;0.0015075;663
18;0.0015054;664
19;0.0010987;910
20;0.0009862;1014
21;0.000968;1033
22;0.0009586;1043
23;0.0009719;1029
24;0.0010116;989
25;0.0016292;614
26;0.0011539;867
27;0.0011472;872
28;0.0011139;898
29;0.0012506;800
30;0.0012794;782
31;0.0014811;675
32;0.0013645;733
33;0.0016199;617
34;0.0010929;915
35;0.0010105;990
36;0.0010573;946
37;0.0010196;981
38;0.0010155;985
39;0.0010089;991
40;0.0010184;982
41;0.0009998;1000
42;0.0010113;989
43;0.0010099;990
44;0.0010968;912
45;0.0018161;551
46;0.0015436;648
47;0.0010951;913
48;0.0010442;958
49;0.0010383;963
50;0.0011394;878
51;0.0010594;944
52;0.0010271;974
53;0.0010105;990
54;0.0010081;992
55;0.0010105;990
56;0.0009976;1002
57;0.0010158;984
58;0.0010079;992
59;0.0016387;610
60;0.0016606;602
61;0.0011793;848
62;0.0011972;835
63;0.0011164;896
64;0.0009905;1010
65;0.0010096;990
66;0.0010079;992
67;0.0010379;963
68;0.0010421;960
69;0.0010879;919
70;0.0010886;919
71;0.0010605;943
72;0.0015745;635
73;0.0012873;777
74;0.0011958;836
75;0.0011067;904
76;0.0011971;835
77;0.0012144;823
78;0.0010848;922
79;0.0010679;936
80;0.0010811;925
81;0.0010592;944
82;0.0010648;939
83;0.001073;932
84;0.001138;879
85;0.0010909;917
86;0.0018121;552
87;0.0014226;703
88;0.0018508;540
89;0.001158;864
90;0.0010555;947
91;0.0009961;1004
92;0.0009896;1011
93;0.0009755;1025
94;0.0009981;1002
95;0.0010002;1000
96;0.0010122;988
97;0.0009983;1002
98;0.0034218;292
99;0.0017649;567
