Frame;DeltaTime;FPS
Average;0.00281688;355
0;0.0164952;61
1;0.0095315;105
2;0.0051392;195
3;0.0030036;333
4;0.0037614;266
5;0.0030637;326
6;0.0027487;364
7;0.003525;284
8;0.0033574;298
9;0.0026898;372
10;0.0024642;406
11;0.002585;387
12;0.0026781;373
13;0.0024974;400
14;0.002956;338
15;0.0026232;381
16;0.0024945;401
17;0.0025584;391
18;0.0026271;381
19;0.002556;391
20;0.0025666;390
21;0.0026856;372
22;0.0026251;381
23;0.0026195;382
24;0.002737;365
25;0.0027084;369
26;0.0026481;378
27;0.0027409;365
28;0.0028372;352
29;0.0030321;330
30;0.0028199;355
31;0.003171;315
32;0.0040496;247
33;0.0028927;346
34;0.0028545;350
35;0.0027386;365
36;0.0027091;369
37;0.0027233;367
38;0.0028604;350
39;0.0028928;346
40;0.0030679;326
41;0.002475;404
42;0.0025238;396
43;0.0033909;295
44;0.002606;384
45;0.0047491;211
46;0.0025044;399
47;0.002374;421
48;0.0023599;424
49;0.0023596;424
50;0.0028071;356
51;0.0026543;377
52;0.0023831;420
53;0.0023493;426
54;0.0023734;421
55;0.0024541;407
56;0.0029343;341
57;0.002793;358
58;0.0026022;384
59;0.0026976;371
60;0.0028026;357
61;0.002864;349
62;0.0029893;335
63;0.0028444;352
64;0.002779;360
65;0.0026663;375
66;0.0027944;358
67;0.0027782;360
68;0.0026738;374
69;0.0026815;373
70;0.0026581;376
71;0.0026315;380
72;0.002582;387
73;0.0027483;364
74;0.0027235;367
75;0.0028467;351
76;0.0026291;380
77;0.0025186;397
78;0.0025292;395
79;0.0027822;359
80;0.0031253;320
81;0.0024907;401
82;0.0025074;399
83;0.0023251;430
84;0.002316;432
85;0.0027856;359
86;0.002922;342
87;0.002639;379
88;0.0025824;387
89;0.0026877;372
90;0.0034884;287
91;0.0027243;367
92;0.0028146;355
93;0.0026482;378
94;0.0026957;371
95;0.0026;385
96;0.0031166;321
97;0.003595;278
98;0.0037345;268
99;0.0027399;365
100;0.0026627;376
101;0.0030743;325
102;0.0035449;282
103;0.0028277;354
104;0.0026143;383
105;0.0025878;386
106;0.0029819;335
107;0.0030666;326
108;0.0026127;383
109;0.0026207;382
110;0.0026012;384
111;0.0026315;380
112;0.0025014;400
113;0.002617;382
114;0.0026145;382
115;0.0026651;375
116;0.002675;374
117;0.0028436;352
118;0.003286;304
119;0.0037924;264
120;0.0037654;266
121;0.0043785;228
122;0.003402;294
123;0.0036997;270
124;0.0028741;348
125;0.0030682;326
126;0.002554;392
127;0.0028675;349
128;0.0026137;383
129;0.0024538;408
130;0.0027301;366
131;0.0025565;391
132;0.0031158;321
133;0.0029749;336
134;0.0026479;378
