Frame;DeltaTime;FPS
Average;0.023248;43
0;0.0535071;19
1;0.0223303;45
2;0.0227197;44
3;0.0214601;47
4;0.0242946;41
5;0.021808;46
6;0.0219052;46
7;0.0234905;43
8;0.0231757;43
9;0.0235702;42
10;0.0262138;38
11;0.024371;41
12;0.0230291;43
13;0.0228095;44
14;0.0237903;42
15;0.0259144;39
16;0.0244495;41
17;0.0235895;42
18;0.0235017;43
19;0.0232809;43
20;0.0259031;39
21;0.0247701;40
22;0.0223085;45
23;0.0223316;45
24;0.0232597;43
25;0.0225794;44
26;0.022192;45
27;0.0225848;44
28;0.0227256;44
29;0.0230522;43
30;0.0229569;44
31;0.0230481;43
32;0.0237898;42
33;0.0225751;44
34;0.022725;44
35;0.0234214;43
36;0.0245188;41
37;0.0225256;44
38;0.0217813;46
39;0.022308;45
40;0.0219716;46
41;0.0223633;45
42;0.0224109;45
43;0.0218964;46
44;0.0227237;44
45;0.0227804;44
46;0.0226416;44
47;0.022579;44
48;0.0231998;43
49;0.0230207;43
50;0.0232729;43
51;0.023283;43
52;0.0234226;43
53;0.023241;43
54;0.0254275;39
55;0.0242383;41
56;0.0230056;43
57;0.0237324;42
58;0.0231108;43
59;0.0228059;44
60;0.022557;44
61;0.0225508;44
62;0.0233245;43
63;0.0234427;43
64;0.0225944;44
65;0.0231605;43
66;0.0231865;43
67;0.0231559;43
68;0.0230149;43
69;0.0232387;43
70;0.0229885;44
71;0.0237524;42
72;0.0242197;41
73;0.0240578;42
74;0.0223457;45
75;0.0227338;44
76;0.0237891;42
77;0.0221439;45
78;0.0227179;44
79;0.0227655;44
80;0.0227821;44
81;0.0228846;44
82;0.0228743;44
83;0.0224726;44
84;0.0227804;44
85;0.0224625;45
86;0.0225477;44
87;0.0226717;44
88;0.0225144;44
89;0.0225294;44
90;0.0222157;45
91;0.0224894;44
92;0.0224659;45
93;0.0221285;45
94;0.0224689;45
95;0.027096;37
96;0.0237133;42
97;0.0220311;45
98;0.0222231;45
99;0.0222103;45
100;0.0230278;43
101;0.0227506;44
102;0.0229349;44
103;0.0226787;44
104;0.022953;44
105;0.023325;43
106;0.0230276;43
107;0.0225968;44
108;0.0227031;44
109;0.0228972;44
110;0.0230214;43
111;0.0238898;42
112;0.0231677;43
113;0.0232869;43
114;0.0230786;43
115;0.0234204;43
116;0.0232488;43
117;0.02294;44
118;0.0228207;44
119;0.0229145;44
120;0.0268077;37
121;0.023179;43
122;0.0228513;44
123;0.0221894;45
124;0.0230437;43
125;0.0240145;42
126;0.0236692;42
127;0.0225681;44
128;0.0227118;44
129;0.0229645;44
130;0.0228089;44
131;0.0229797;44
132;0.0239092;42
133;0.0231351;43
134;0.0224677;45
135;0.0231686;43
136;0.0232172;43
137;0.0233263;43
138;0.0233887;43
139;0.0252658;40
140;0.0241693;41
141;0.0235131;43
142;0.0229792;44
143;0.0232902;43
144;0.0233748;43
145;0.0230529;43
146;0.0233389;43
147;0.0238076;42
148;0.024316;41
149;0.0273357;37
150;0.0221324;45
151;0.0215869;46
152;0.0228139;44
153;0.0216577;46
154;0.0225086;44
155;0.0231167;43
156;0.0233836;43
157;0.0236723;42
158;0.0233929;43
159;0.0249683;40
160;0.0222888;45
161;0.0223436;45
162;0.0225061;44
163;0.0229417;44
164;0.0233;43
165;0.0229188;44
166;0.0233997;43
167;0.0235348;42
168;0.023103;43
169;0.0238444;42
170;0.0228925;44
171;0.0228083;44
172;0.0225999;44
173;0.0228215;44
174;0.0229859;44
