Frame;DeltaTime;FPS
Average;0.000635644;1573
0;0.0351904;28
1;0.0010577;945
2;0.0067168;149
3;0.0029597;338
4;0.0004238;2360
5;0.0002677;3736
6;0.0004401;2272
7;0.0005113;1956
8;0.0005927;1687
9;0.0014589;685
10;0.0009966;1003
11;0.0004108;2434
12;0.0004009;2494
13;0.0003862;2589
14;0.0003318;3014
15;0.0002813;3555
16;0.0003384;2955
17;0.0005249;1905
18;0.002205;454
19;0.0007789;1284
20;0.0005418;1846
21;0.0003689;2711
22;0.0008663;1154
23;0.0003545;2821
24;0.0002695;3711
25;0.000338;2959
26;0.0002529;3954
27;0.0005168;1935
28;0.0004566;2190
29;0.0004131;2421
30;0.000916;1092
31;0.0007579;1319
32;0.0010832;923
33;0.0009134;1095
34;0.0007102;1408
35;0.0004381;2283
36;0.0003307;3024
37;0.0003356;2980
38;0.000307;3257
39;0.0003345;2990
40;0.0003058;3270
41;0.0003025;3306
42;0.0003399;2942
43;0.0003992;2505
44;0.0004414;2266
45;0.0005785;1729
46;0.0005146;1943
47;0.0005716;1749
48;0.0004242;2357
49;0.0006285;1591
50;0.0004215;2372
51;0.0003532;2831
52;0.0007492;1335
53;0.000409;2445
54;0.0004532;2207
55;0.0004105;2436
56;0.0004409;2268
57;0.0005117;1954
58;0.0005268;1898
59;0.000275;3636
60;0.0004625;2162
61;0.0005256;1903
62;0.0012553;797
63;0.0009579;1044
64;0.0015984;626
65;0.0005872;1703
66;0.0004116;2430
67;0.0003195;3130
68;0.0002672;3743
69;0.0003176;3149
70;0.0006288;1590
71;0.000421;2375
72;0.0003971;2518
73;0.0005143;1944
74;0.0003469;2883
75;0.0003215;3110
76;0.0002994;3340
77;0.0003495;2861
78;0.0003005;3328
79;0.0002748;3639
80;0.0005548;1802
81;0.0006529;1532
82;0.0006257;1598
83;0.0004681;2136
84;0.0003457;2893
85;0.000907;1103
86;0.0003901;2563
87;0.000475;2105
88;0.0004642;2154
89;0.0003601;2777
90;0.0004038;2476
91;0.0003978;2514
92;0.0005393;1854
93;0.0005101;1960
94;0.000933;1072
95;0.0026976;371
96;0.0011539;867
97;0.0003392;2948
98;0.0003406;2936
99;0.0003291;3039
100;0.0002975;3361
101;0.0006797;1471
102;0.0005331;1876
103;0.0005406;1850
104;0.000423;2364
105;0.0004325;2312
106;0.0003442;2905
107;0.0003708;2697
108;0.0006393;1564
109;0.0006873;1455
110;0.0004484;2230
111;0.0004636;2157
112;0.0005984;1671
113;0.0005214;1918
114;0.0005648;1771
115;0.0005059;1977
116;0.0004182;2391
117;0.0004007;2496
118;0.0002761;3622
119;0.0004328;2311
120;0.0004629;2160
121;0.00042;2381
122;0.0009522;1050
123;0.0008748;1143
124;0.000776;1289
125;0.0007637;1309
126;0.0005624;1778
127;0.0003316;3016
128;0.0004968;2013
129;0.0006824;1465
130;0.0003405;2937
131;0.0003788;2640
132;0.0004592;2178
133;0.0003315;3017
134;0.0003716;2691
135;0.0003334;2999
136;0.0002442;4095
137;0.0004085;2448
138;0.0005202;1922
139;0.0005573;1794
140;0.0005793;1726
141;0.0005658;1767
142;0.0006419;1558
143;0.0004796;2085
144;0.0005733;1744
145;0.0005051;1980
146;0.0005212;1919
147;0.0003822;2616
148;0.0004092;2444
149;0.0003529;2834
150;0.000435;2299
151;0.0004906;2038
152;0.0010224;978
153;0.0008816;1134
154;0.0003835;2608
155;0.0003445;2903
156;0.0008416;1188
157;0.0005484;1823
158;0.0004526;2209
159;0.0005063;1975
160;0.0003589;2786
161;0.0004782;2091
162;0.0004192;2385
163;0.0004105;2436
164;0.0004405;2270
165;0.0004252;2352
166;0.0006573;1521
167;0.0004946;2022
168;0.0004684;2135
169;0.0004462;2241
170;0.0004784;2090
171;0.000544;1838
172;0.000558;1792
173;0.0007337;1363
174;0.0004849;2062
175;0.000488;2049
176;0.0003876;2580
177;0.0003543;2822
178;0.0003038;3292
179;0.0005503;1817
180;0.0003601;2777
181;0.00087;1149
182;0.0011142;898
183;0.0010773;928
184;0.0004147;2411
185;0.0004558;2194
186;0.0004541;2202
187;0.000397;2519
188;0.0008649;1156
189;0.0007589;1318
190;0.0004429;2258
191;0.0003661;2731
192;0.0004426;2259
193;0.0005276;1895
194;0.0004689;2133
195;0.0004821;2074
196;0.0003837;2606
197;0.0002583;3871
198;0.0002969;3368
199;0.0005077;1970
200;0.0006268;1595
201;0.0004685;2134
202;0.0006055;1652
203;0.0004442;2251
204;0.0004649;2151
205;0.0005065;1974
206;0.0003488;2867
207;0.0004145;2413
208;0.0005045;1982
209;0.0003241;3085
210;0.0002963;3375
211;0.0009998;1000
212;0.0010888;918
213;0.0005865;1705
214;0.0005095;1963
215;0.000396;2525
216;0.0003185;3140
217;0.0005205;1921
218;0.0010092;991
219;0.0006508;1537
220;0.0005385;1857
221;0.0004361;2293
222;0.0003079;3248
223;0.0003522;2839
224;0.0004911;2036
225;0.0004164;2402
226;0.0004155;2407
227;0.0003929;2545
228;0.000399;2506
229;0.0004106;2435
230;0.0003826;2614
231;0.0003964;2523
232;0.0005506;1816
233;0.0003656;2735
234;0.0003889;2571
235;0.0005621;1779
236;0.0004759;2101
237;0.0003821;2617
238;0.0003005;3328
239;0.0006536;1530
240;0.0004293;2329
241;0.0003539;2826
242;0.0003693;2708
243;0.000332;3012
244;0.0012853;778
245;0.0008656;1155
246;0.0003562;2807
247;0.0002497;4005
248;0.000393;2545
249;0.000499;2004
250;0.0003295;3035
251;0.0004388;2279
252;0.0003957;2527
253;0.000563;1776
254;0.0013953;717
255;0.000642;1558
256;0.0006333;1579
257;0.0006517;1534
258;0.0007507;1332
259;0.0004311;2320
260;0.0002599;3848
261;0.0003725;2685
262;0.0005457;1833
263;0.0004364;2291
264;0.0004957;2017
265;0.0004972;2011
266;0.000474;2110
267;0.0003732;2680
268;0.0006456;1549
269;0.0005633;1775
270;0.0004855;2060
271;0.0004067;2459
272;0.0015598;641
273;0.0009208;1086
274;0.0003293;3037
275;0.0006249;1600
276;0.0003913;2556
277;0.0003021;3310
278;0.0005075;1970
279;0.0002968;3369
280;0.0002981;3355
281;0.0003734;2678
282;0.0005267;1899
283;0.0002997;3337
284;0.0008911;1122
285;0.0005256;1903
286;0.0003462;2889
287;0.0004724;2117
288;0.0005006;1998
289;0.000443;2257
290;0.0003567;2803
291;0.0004431;2257
292;0.0007065;1415
293;0.0004156;2406
294;0.0003866;2587
295;0.0004583;2182
296;0.0003192;3133
297;0.0003842;2603
298;0.0003738;2675
299;0.0003021;3310
