Frame;DeltaTime;FPS
Average;0.00113695;880
0;0.031502;32
1;0.0031534;317
2;0.0025906;386
3;0.0015902;629
4;0.0010512;951
5;0.000855;1170
6;0.0017944;557
7;0.0022359;447
8;0.0023327;429
9;0.0015428;648
10;0.0013876;721
11;0.001348;742
12;0.001651;606
13;0.0017234;580
14;0.0014762;677
15;0.0014203;704
16;0.0014079;710
17;0.0015485;646
18;0.0014005;714
19;0.0015881;630
20;0.0008614;1161
21;0.0008362;1196
22;0.0008203;1219
23;0.0008157;1226
24;0.0010032;997
25;0.0017444;573
26;0.0008782;1139
27;0.0008481;1179
28;0.00086;1163
29;0.0008145;1228
30;0.000842;1188
31;0.000789;1267
32;0.0013034;767
33;0.0011613;861
34;0.000942;1062
35;0.0008941;1118
36;0.0010229;978
37;0.0008921;1121
38;0.0008513;1175
39;0.0008885;1125
40;0.0008663;1154
41;0.0008275;1208
42;0.0008526;1173
43;0.0009669;1034
44;0.0011094;901
45;0.0008682;1152
46;0.0008092;1236
47;0.0008203;1219
48;0.0008215;1217
49;0.0014034;713
50;0.0018168;550
51;0.0013534;739
52;0.0013597;735
53;0.0010486;954
54;0.0018864;530
55;0.0007778;1286
56;0.0007808;1281
57;0.0008529;1172
58;0.0008831;1132
59;0.000926;1080
60;0.000869;1151
61;0.00083;1205
62;0.0032856;304
63;0.0013105;763
64;0.001058;945
65;0.0010287;972
66;0.0009145;1093
67;0.0008007;1249
68;0.0007945;1259
69;0.0007917;1263
70;0.0008;1250
71;0.0008333;1200
72;0.0008277;1208
73;0.0008954;1117
74;0.0010981;911
75;0.0009764;1024
76;0.0009632;1038
77;0.0012864;777
78;0.0009604;1041
79;0.0008559;1168
80;0.0008407;1189
81;0.0008335;1200
82;0.0009118;1097
83;0.0008555;1169
84;0.0008742;1144
85;0.0008176;1223
86;0.0008188;1221
87;0.0008135;1229
88;0.0008425;1187
89;0.0009443;1059
90;0.0008979;1114
91;0.0008828;1133
92;0.000875;1143
93;0.000913;1095
94;0.0017853;560
95;0.0013784;725
96;0.0009276;1078
97;0.0009238;1082
98;0.0009594;1042
99;0.0009597;1042
100;0.0009804;1020
101;0.0009342;1070
102;0.0008692;1150
103;0.0008397;1191
104;0.0008127;1230
105;0.000832;1202
106;0.0008199;1220
107;0.0010407;961
108;0.0017368;576
109;0.0013944;717
110;0.0011678;856
111;0.0009061;1104
112;0.0008444;1184
113;0.0009001;1111
114;0.000839;1192
115;0.0025968;385
116;0.0016868;593
117;0.0009291;1076
118;0.0008472;1180
119;0.0008359;1196
120;0.0007929;1261
121;0.000804;1244
122;0.0007877;1270
123;0.0030413;329
124;0.0016282;614
125;0.0008741;1144
126;0.000805;1242
127;0.0008394;1191
128;0.0008268;1209
129;0.000855;1170
130;0.000965;1036
131;0.0009208;1086
132;0.0008542;1171
133;0.0008106;1234
134;0.0007959;1256
135;0.0007988;1252
136;0.0008078;1238
137;0.0016279;614
138;0.0013504;741
139;0.0012257;816
140;0.0009545;1048
141;0.0008535;1172
142;0.000816;1225
143;0.0008032;1245
144;0.0008059;1241
145;0.0008441;1185
146;0.0009263;1080
147;0.0009304;1075
148;0.0009992;1001
149;0.0010457;956
150;0.0009452;1058
151;0.0008469;1181
152;0.0008414;1188
153;0.0017468;572
154;0.0011664;857
155;0.0010858;921
156;0.0010947;913
157;0.0008632;1158
158;0.0009024;1108
159;0.0008537;1171
160;0.0008245;1213
161;0.0008106;1234
162;0.0008317;1202
163;0.0008434;1186
164;0.0008245;1213
165;0.0008733;1145
166;0.000872;1147
167;0.0008962;1116
168;0.0009535;1049
169;0.0008778;1139
170;0.0027387;365
171;0.0015327;652
172;0.0012059;829
173;0.0011744;851
174;0.0010206;980
175;0.0010385;963
176;0.0010131;987
177;0.0008472;1180
178;0.0008143;1228
179;0.0008241;1213
180;0.0008027;1246
181;0.0009073;1102
182;0.0008497;1177
183;0.0008448;1184
184;0.0017633;567
185;0.0019065;525
186;0.0012916;774
187;0.0016859;593
188;0.0013863;721
189;0.0008407;1189
190;0.0007702;1298
191;0.0007719;1296
192;0.0007649;1307
193;0.0007763;1288
194;0.0007627;1311
195;0.0007588;1318
196;0.0007633;1310
197;0.0007688;1301
198;0.001423;703
199;0.0018488;541
200;0.0011776;849
201;0.0011484;871
202;0.0010575;946
203;0.0012963;771
204;0.0010015;999
205;0.0007986;1252
206;0.0007826;1278
207;0.0007605;1315
208;0.0007893;1267
209;0.000831;1203
210;0.0008574;1166
211;0.0008738;1144
212;0.0015624;640
213;0.001814;551
214;0.0009407;1063
215;0.0007921;1262
216;0.000801;1248
217;0.0008295;1206
218;0.000841;1189
219;0.0010318;969
220;0.0010405;961
221;0.0008369;1195
222;0.0007898;1266
223;0.0008323;1201
224;0.0008055;1241
225;0.0008069;1239
226;0.0008179;1223
227;0.0008529;1172
228;0.0008871;1127
229;0.0014254;702
230;0.0011945;837
231;0.0012084;828
232;0.0010595;944
233;0.0008527;1173
234;0.0008539;1171
235;0.0008428;1187
236;0.0008348;1198
237;0.0009246;1082
238;0.0009156;1092
239;0.0008588;1164
240;0.000874;1144
241;0.0008666;1154
242;0.0008511;1175
243;0.0008526;1173
244;0.0008776;1139
245;0.0009904;1010
246;0.0016138;620
247;0.0014355;697
248;0.0013085;764
249;0.0010543;948
250;0.00084;1190
251;0.0008705;1149
252;0.0009084;1101
253;0.001056;947
254;0.0010521;950
255;0.0010571;946
256;0.0008832;1132
257;0.0008576;1166
258;0.000838;1193
259;0.0008733;1145
260;0.0008623;1160
261;0.0019542;512
262;0.0016663;600
263;0.0016206;617
264;0.0014125;708
265;0.0012822;780
266;0.0012196;820
267;0.0012472;802
268;0.0013025;768
269;0.0013042;767
270;0.0013068;765
271;0.0012406;806
272;0.0026984;371
273;0.0019975;501
274;0.0010453;957
275;0.0008938;1119
276;0.0008588;1164
277;0.0008589;1164
278;0.0008384;1193
279;0.0008486;1178
280;0.0008371;1195
281;0.0008698;1150
282;0.0009246;1082
283;0.0009485;1054
284;0.000855;1170
285;0.000831;1203
286;0.0008537;1171
287;0.0015674;638
288;0.0012526;798
289;0.0010263;974
290;0.00088;1136
291;0.0008367;1195
292;0.0016463;607
293;0.0008154;1226
294;0.0007849;1274
295;0.0007778;1286
296;0.0007778;1286
297;0.0007773;1287
298;0.0008139;1229
299;0.0009995;1001
300;0.0009897;1010
301;0.0008776;1139
302;0.0009663;1035
303;0.00099;1010
304;0.0009239;1082
305;0.0008603;1162
306;0.0008164;1225
307;0.0008067;1240
308;0.0007978;1253
309;0.0008055;1241
310;0.0020806;481
311;0.0007818;1279
312;0.0007692;1300
313;0.0007881;1269
314;0.0007751;1290
315;0.0007743;1291
316;0.0008112;1233
317;0.0008387;1192
318;0.0008943;1118
319;0.0015558;643
320;0.0015713;636
321;0.0008442;1185
322;0.0008044;1243
323;0.0007811;1280
324;0.0007796;1283
325;0.0008598;1163
326;0.0009004;1111
327;0.0008133;1230
328;0.0007861;1272
329;0.0007627;1311
330;0.0007787;1284
331;0.0008006;1249
332;0.0007975;1254
333;0.0008055;1241
334;0.0008035;1245
335;0.0008692;1150
336;0.0017424;574
337;0.0012869;777
338;0.0008975;1114
339;0.0008476;1180
340;0.0008374;1194
341;0.0008606;1162
