Frame;DeltaTime;FPS
Average;0.000675431;1481
0;0.0332391;30
1;0.0008779;1139
2;0.0044765;223
3;0.0013043;767
4;0.0012233;817
5;0.0050456;198
6;0.001363;734
7;0.0010983;910
8;0.0015585;642
9;0.0007514;1331
10;0.00049;2041
11;0.0005086;1966
12;0.0003283;3046
13;0.0003465;2886
14;0.0003808;2626
15;0.0003105;3221
16;0.0009534;1049
17;0.0008711;1148
18;0.0006671;1499
19;0.0005658;1767
20;0.0006035;1657
21;0.0005746;1740
22;0.0005518;1812
23;0.0005953;1680
24;0.0006346;1576
25;0.001662;602
26;0.0007721;1295
27;0.0004567;2190
28;0.0003064;3264
29;0.0011504;869
30;0.0007069;1415
31;0.0006747;1482
32;0.0009935;1007
33;0.00087;1149
34;0.0004216;2372
35;0.0007371;1357
36;0.0003834;2608
37;0.0005874;1702
38;0.0003999;2501
39;0.000588;1701
40;0.0005294;1889
41;0.0004348;2300
42;0.000372;2688
43;0.0006026;1659
44;0.0004313;2319
45;0.0004251;2352
46;0.0004965;2014
47;0.0003944;2535
48;0.0004249;2353
49;0.0003823;2616
50;0.0017277;579
51;0.0013052;766
52;0.000498;2008
53;0.000466;2146
54;0.0020524;487
55;0.0013716;729
56;0.0005317;1881
57;0.0004327;2311
58;0.0005499;1819
59;0.0004924;2031
60;0.0005145;1944
61;0.0004244;2356
62;0.000552;1812
63;0.0005884;1700
64;0.0004994;2002
65;0.0006571;1522
66;0.0004258;2349
67;0.0003625;2759
68;0.0005334;1875
69;0.0004023;2486
70;0.000418;2392
71;0.0004111;2432
72;0.0010835;923
73;0.0008772;1140
74;0.0003712;2694
75;0.0012054;830
76;0.0008973;1114
77;0.0005895;1696
78;0.0005457;1833
79;0.0003783;2643
80;0.0009552;1047
81;0.0007654;1307
82;0.000562;1779
83;0.0005563;1798
84;0.0006433;1554
85;0.0005416;1846
86;0.0005808;1722
87;0.0005297;1888
88;0.0005621;1779
89;0.0004371;2288
90;0.000473;2114
91;0.0003863;2589
92;0.0005703;1753
93;0.0005246;1906
94;0.0004285;2334
95;0.0003769;2653
96;0.001619;618
97;0.0008548;1170
98;0.0005855;1708
99;0.0004329;2310
100;0.0005689;1758
101;0.0005968;1676
102;0.0004347;2300
103;0.0004854;2060
104;0.0005435;1840
105;0.0004278;2338
106;0.0003373;2965
107;0.0007872;1270
108;0.0007183;1392
109;0.0005757;1737
110;0.0004795;2086
111;0.0004321;2314
112;0.0003769;2653
113;0.0003987;2508
114;0.0003518;2843
115;0.0003115;3210
116;0.0009441;1059
117;0.000726;1377
118;0.000582;1718
119;0.0003737;2676
120;0.0008594;1164
121;0.0006142;1628
122;0.0023815;420
123;0.0005775;1732
124;0.0003676;2720
125;0.0010743;931
126;0.0008725;1146
127;0.0006305;1586
128;0.0005558;1799
129;0.0004012;2493
130;0.0006058;1651
131;0.0010658;938
132;0.0005483;1824
133;0.0004685;2134
134;0.0005823;1717
135;0.0004723;2117
136;0.0003513;2847
137;0.0003323;3009
138;0.000368;2717
139;0.000846;1182
140;0.0007072;1414
141;0.0004153;2408
142;0.0003805;2628
143;0.0003624;2759
144;0.0006241;1602
145;0.0004054;2467
146;0.0005111;1957
147;0.001526;655
148;0.0009619;1040
149;0.0003491;2865
150;0.0004602;2173
151;0.0004711;2123
152;0.0004862;2057
153;0.0006508;1537
154;0.0004795;2086
155;0.0007346;1361
156;0.0004541;2202
157;0.0003467;2884
158;0.0003857;2593
159;0.0010146;986
160;0.0004535;2205
161;0.0004207;2377
162;0.0003565;2805
163;0.0004918;2033
164;0.000711;1406
165;0.0004967;2013
166;0.0005531;1808
167;0.0003296;3034
168;0.001004;996
169;0.0005635;1775
170;0.0004241;2358
171;0.0004475;2235
172;0.0004127;2423
173;0.0004237;2360
174;0.0003734;2678
175;0.000635;1575
176;0.001497;668
177;0.0005416;1846
